cliente_id,nombre,apellido,email,genero,fecha_registro,region,pais,edad,ingreso_mensual,activo
244,Diego,Muñoz,diego.muñoz244@mail.cl,F,2022-12-04,Coquimbo,Chile,48.0,1393093.0,False
245,Andrés,Flores,andrés.flores245@mail.cl,M,2024-03-11,Araucanía,Chile,58.0,792231.0,True
246,Valentina,Rojas,valentina.rojas246@mail.cl,Femenino,2023-02-05,RM,Chile,,2242495.0,True
247,Valentina,Soto,valentina.soto247@mail.cl,Femenino,2023-11-04,Coquimbo,Chile,49.0,1872401.0,False
248,Juan,Muñoz,juan.muñoz248@mail.cl,M,2024-03-11,Antofagasta,Chile,47.0,1768300.0,False
249,Francisca,Soto,francisca.soto249@mail.cl,Masculino,2022-07-13,Araucanía,Chile,43.0,550861.0,False
250,María,Valenzuela,maría.valenzuela250@mail.cl,F,2022-04-16,RM,Chile,66.0,2123911.0,True
251,Rodrigo,Rojas,rodrigo.rojas251@mail.cl,Masculino,2022-01-09,Araucanía,Chile,56.0,1149438.0,False
252,Sebastián,Muñoz,sebastián.muñoz252@mail.cl,Femenino,2022-04-21,Biobío,Chile,24.0,1254122.0,False
253,Camila,Soto,camila.soto253@mail.cl,F,2022-01-22,Coquimbo,Chile,20.0,1473950.0,True
254,Carolina,López,carolina.lópez254@mail.cl,F,2024-08-28,Valparaíso,Chile,29.0,641398.0,False
255,Rodrigo,Martínez,rodrigo.martínez255@mail.cl,M,2022-05-02,RM,Chile,63.0,1094604.0,False
256,Rodrigo,Contreras,rodrigo.contreras256@mail.cl,M,2023-11-26,RM,Chile,61.0,1306481.0,False
257,María,Rojas,maría.rojas257@mail.cl,F,2023-07-03,Araucanía,Chile,58.0,984410.0,True
258,Carolina,López,carolina.lópez258@mail.cl,Masculino,2022-02-04,RM,Chile,32.0,2040448.0,True
259,Carolina,González,carolina.gonzález259@mail.cl,F,2022-06-08,Coquimbo,Chile,41.0,1360563.0,True
260,Camila,Araya,camila.araya260@mail.cl,Femenino,2023-06-16,Coquimbo,Chile,67.0,,True
261,Sebastián,Díaz,sebastián.díaz261@mail.cl,F,2024-05-15,Coquimbo,Chile,19.0,789102.0,False
262,Camila,Soto,camila.soto262@mail.cl,Masculino,2024-01-25,Coquimbo,Chile,29.0,749474.0,True
263,María,Silva,maría.silva263@mail.cl,M,2024-06-29,RM,Chile,43.0,519975.0,False
264,Constanza,Contreras,constanza.contreras264@mail.cl,F,2024-07-28,RM,Chile,19.0,1843862.0,True
265,Diego,Soto,diego.soto265@mail.cl,M,2023-07-07,RM,Chile,64.0,1122605.0,False
266,Felipe,Martínez,felipe.martínez266@mail.cl,Femenino,2022-05-10,RM,Chile,34.0,2460826.0,True
267,Sebastián,Araya,sebastián.araya267@mail.cl,F,2022-09-18,RM,Chile,57.0,848619.0,False
268,Camila,Flores,camila.flores268@mail.cl,Masculino,2022-10-14,RM,Chile,20.0,1057685.0,False
269,Francisca,Flores,francisca.flores269@mail.cl,F,2024-04-23,Biobío,Chile,18.0,1423780.0,False
270,Daniela,Morales,daniela.morales270@mail.cl,Femenino,2023-05-28,RM,Chile,37.0,,True
271,Andrés,Pérez,andrés.pérez271@mail.cl,Masculino,2022-06-14,Biobío,Chile,,841815.0,False
272,Valentina,Araya,valentina.araya272@mail.cl,Masculino,2024-08-14,RM,Chile,31.0,,True
273,Diego,Díaz,diego.díaz273@mail.cl,F,2024-03-07,Valparaíso,Chile,52.0,717285.0,True
274,Diego,Morales,diego.morales274@mail.cl,M,2024-10-05,Coquimbo,Chile,29.0,2192137.0,False
275,Diego,Muñoz,diego.muñoz275@mail.cl,Femenino,2022-05-06,,Chile,67.0,2396220.0,True
276,Felipe,Valenzuela,felipe.valenzuela276@mail.cl,Femenino,2023-05-10,Coquimbo,Chile,40.0,2047691.0,False
277,Camila,Contreras,camila.contreras277@mail.cl,Femenino,2022-11-04,Valparaíso,Chile,59.0,897686.0,False
278,María,Pérez,maría.pérez278@mail.cl,M,2024-10-11,Valparaíso,Chile,49.0,1300101.0,True
279,Valentina,Valenzuela,valentina.valenzuela279@mail.cl,F,2022-11-07,Araucanía,Chile,60.0,1112297.0,False
280,María,Muñoz,maría.muñoz280@mail.cl,M,2022-10-30,Coquimbo,Chile,29.0,1860858.0,False
281,Sebastián,Espinoza,sebastián.espinoza281@mail.cl,Femenino,2024-03-11,Valparaíso,Chile,48.0,1333487.0,False
282,Diego,Pérez,diego.pérez282@mail.cl,M,2024-10-06,Valparaíso,Chile,26.0,1478080.0,True
283,Sebastián,Flores,sebastián.flores283@mail.cl,M,2023-08-12,RM,Chile,28.0,919139.0,False
284,Rodrigo,Soto,rodrigo.soto284@mail.cl,F,2022-01-19,Biobío,Chile,35.0,2431660.0,True
285,Felipe,Rojas,felipe.rojas285@mail.cl,M,2024-04-01,Valparaíso,Chile,38.0,2076590.0,True
286,Carolina,López,carolina.lópez286@mail.cl,Masculino,2022-05-23,Valparaíso,Chile,46.0,2438904.0,True
287,Juan,González,juan.gonzález287@mail.cl,Masculino,2022-04-12,RM,Chile,52.0,1548173.0,False
288,Francisca,Muñoz,francisca.muñoz288@mail.cl,F,2024-10-23,Coquimbo,Chile,,666703.0,False
289,Valentina,Araya,valentina.araya289@mail.cl,M,2023-10-27,RM,Chile,51.0,1602127.0,True
290,Carolina,Díaz,carolina.díaz290@mail.cl,Masculino,2022-02-12,Biobío,Chile,23.0,1761357.0,False
291,Carolina,Morales,carolina.morales291@mail.cl,Masculino,2024-10-01,Biobío,Chile,60.0,1525014.0,False
292,Diego,Araya,diego.araya292@mail.cl,Masculino,2024-03-03,Valparaíso,Chile,,1396782.0,False
293,Diego,Flores,diego.flores293@mail.cl,F,2024-02-26,RM,Chile,21.0,2342159.0,True
294,Camila,Espinoza,camila.espinoza294@mail.cl,Masculino,2024-01-21,Coquimbo,Chile,25.0,1670575.0,False
295,Camila,Espinoza,camila.espinoza295@mail.cl,F,2022-01-02,RM,Chile,21.0,2304377.0,True
296,Constanza,Morales,constanza.morales296@mail.cl,Masculino,2024-11-28,Coquimbo,Chile,24.0,2030814.0,False
297,Juan,López,juan.lópez297@mail.cl,M,2022-10-25,Antofagasta,Chile,37.0,1132259.0,False
298,Felipe,Soto,felipe.soto298@mail.cl,M,2023-07-13,Araucanía,Chile,39.0,1965461.0,True
299,Valentina,Araya,valentina.araya299@mail.cl,M,2024-11-15,RM,Chile,27.0,2462967.0,False
300,Sebastián,Flores,sebastián.flores300@mail.cl,F,2023-08-07,Biobío,Chile,66.0,732601.0,True
53,Rodrigo,Díaz,rodrigo.díaz53@mail.cl,M,2023-05-27,,Chile,,2032875.0,True
13,María,Valenzuela,maría.valenzuela13@mail.cl,M,2024-03-02,RM,Chile,62.0,1785160.0,True
80,Camila,Morales,camila.morales80@mail.cl,M,2023-07-23,RM,Chile,59.0,1045977.0,True
155,Francisca,Espinoza,francisca.espinoza155@mail.cl,Femenino,2024-09-09,Antofagasta,Chile,68.0,2454727.0,True
204,Rodrigo,Espinoza,rodrigo.espinoza204@mail.cl,M,2024-01-18,Valparaíso,Chile,,1345038.0,True
